speciesID,speccode,genus,species,FBname,kingdom,phylum,class,order,family,rank
Fis-22720,16,Epinephelus,itajara,Atlantic goliath grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,1
Fis-22721,17,Epinephelus,morio,Red grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,1
Fis-22722,18,Epinephelus,striatus,Nassau grouper,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,1
Fis-29302,19,Balistes,vetula,Queen triggerfish,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,1
Fis-29289,20,Argentina,sphyraena,Argentine,Animalia,Chordata,Actinopterygii,Osmeriformes,Argentinidae,1
Fis-22718,21,Benthosema,glaciale,Glacier lantern fish,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,1
Fis-29314,22,Callionymus,reticulatus,Reticulated dragonet,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,1
Fis-29313,23,Callionymus,lyra,Dragonet,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,1
Fis-29344,24,Clupea,harengus,Atlantic herring,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,1
Fis-3399,25,Gadiculus,thori,,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,1
Fis-22723,26,Glyptocephalus,cynoglossus,Witch flounder,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,1
Fis-22724,27,Lepidorhombus,boscii,Four-spot megrim,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,1
Fis-22725,28,Lepidorhombus,whiffiagonis,Megrim,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,1
Fis-22726,29,Merlangius,merlangus,Whiting,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,1
Fis-22727,30,Merluccius,merluccius,European hake,Animalia,Chordata,Actinopterygii,Gadiformes,Merlucciidae,1
Fis-22729,31,Micromesistius,poutassou,Blue whiting,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,1
Fis-22728,32,Microchirus,variegatus,Thickback sole,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,1
Fis-22730,33,Molva,molva,Ling,Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,1
Fis-22732,34,Pollachius,pollachius,Pollack,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,1
Fis-22711,35,Anguilla,anguilla,European eel,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,1
Fis-22710,36,Agonus,cataphractus,Hooknose,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,1
Fis-29267,37,Ammodytes,marinus,Lesser sand-eel,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,1
Fis-29269,38,Ammodytes,tobianus,Small sandeel,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,1
Fis-22712,39,Aphia,minuta,Transparent goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,1
Fis-29291,40,Argyropelecus,affinis,Pacific hatchet fish,Animalia,Chordata,Actinopterygii,Stomiiformes,Sternoptychidae,1
Fis-22714,41,Arnoglossus,laterna,Mediterranean scaldfish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,1
Fis-22713,42,Arnoglossus,imperialis,Imperial scaldfish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,1
Fis-29297,43,Arnoglossus,thori,Thor's scaldfish,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,1
Fis-22715,44,Chelidonichthys,cuculus,Red gurnard,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,1
Fis-29300,45,Atherina,presbyter,Sand smelt,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,1
Fis-139729,46,Melanolagus,bericoides,Bigscale deepsea smelt,Animalia,Chordata,Actinopterygii,Osmeriformes,Bathylagidae,1
Fis-22717,47,Belone,belone,Garfish,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,1
