layer,depth,province
180131,-5851.462890625,non-categ_VMEs
180132,-5417.134765625,non-categ_VMEs
180133,-5360.28369140625,non-categ_VMEs
180134,-5249.78466796875,non-categ_VMEs
180135,-5328.93505859375,non-categ_VMEs
180136,-5340.2216796875,non-categ_VMEs
180137,-5350.00537109375,non-categ_VMEs
180138,-5412.67919921875,non-categ_VMEs
180139,-5719.15185546875,non-categ_VMEs
180140,-5822.5546875,non-categ_VMEs
180141,-5453.2138671875,non-categ_VMEs
180142,-5410.87353515625,non-categ_VMEs
180143,-5303.53955078125,non-categ_VMEs
180144,-5447.9619140625,non-categ_VMEs
180145,-5408.546875,non-categ_VMEs
180146,-5501.10302734375,non-categ_VMEs
180147,-5522.92431640625,non-categ_VMEs
180148,-5580.68310546875,non-categ_VMEs
180149,-5661.787109375,non-categ_VMEs
180150,-5890.18505859375,non-categ_VMEs
180151,-5694.8935546875,non-categ_VMEs
180152,-5300.91015625,non-categ_VMEs
180153,-5474.05126953125,non-categ_VMEs
180154,-5232.69091796875,non-categ_VMEs
180155,-5147.10400390625,non-categ_VMEs
180156,-5425.8740234375,non-categ_VMEs
180157,-5455.87548828125,non-categ_VMEs
180158,-5641.69775390625,non-categ_VMEs
180159,-5599.40087890625,non-categ_VMEs
180160,-5568.017578125,non-categ_VMEs
180161,-5931.083984375,non-categ_VMEs
180162,-5735.8330078125,non-categ_VMEs
180163,-5830.57763671875,non-categ_VMEs
180164,-5843.65673828125,non-categ_VMEs
180165,-5315.27392578125,non-categ_VMEs
180166,-5451.09326171875,non-categ_VMEs
180167,-5287.27734375,non-categ_VMEs
180168,-5457.27490234375,non-categ_VMEs
180169,-5462.45947265625,non-categ_VMEs
180170,-5500.7431640625,non-categ_VMEs
180171,-5604.76318359375,non-categ_VMEs
180172,-5803.01318359375,non-categ_VMEs
180173,-5748.01171875,non-categ_VMEs
180174,-5830.6767578125,non-categ_VMEs
180175,-5882.45361328125,non-categ_VMEs
180176,-5580.5576171875,non-categ_VMEs
180177,-5990.345703125,non-categ_VMEs
180178,-5537.49462890625,non-categ_VMEs
180179,-5431.65380859375,non-categ_VMEs
180180,-5382.63134765625,non-categ_VMEs
180181,-5360.89111328125,non-categ_VMEs
180182,-5560.58984375,non-categ_VMEs
180183,-5695.98046875,non-categ_VMEs
180184,-5644.49609375,non-categ_VMEs
180185,-5782.87841796875,non-categ_VMEs
180186,-5719.53662109375,non-categ_VMEs
180187,-5878.61572265625,non-categ_VMEs
180188,-6070.65283203125,non-categ_VMEs
180189,-5754.56884765625,non-categ_VMEs
180190,-5914.18017578125,non-categ_VMEs
180191,-5917.0771484375,non-categ_VMEs
180192,-5629.8388671875,non-categ_VMEs
180193,-5112.5068359375,non-categ_VMEs
180194,-5419.94775390625,non-categ_VMEs
180195,-5288.37353515625,non-categ_VMEs
180196,-5483.3876953125,non-categ_VMEs
180197,-5557.99609375,non-categ_VMEs
180198,-5649.42578125,non-categ_VMEs
180199,-5790.603515625,non-categ_VMEs
180200,-5887.197265625,non-categ_VMEs
180201,-5890.29052734375,non-categ_VMEs
180202,-5941.61669921875,non-categ_VMEs
180203,-5861.83740234375,non-categ_VMEs
180204,-5515.1513671875,non-categ_VMEs
180205,-5909.244140625,non-categ_VMEs
180206,-5706.8232421875,non-categ_VMEs
180207,-5605.86376953125,non-categ_VMEs
180208,-5267.65185546875,non-categ_VMEs
180209,-5390.9267578125,non-categ_VMEs
180210,-5430.04736328125,non-categ_VMEs
180211,-5761.01513671875,non-categ_VMEs
180212,-5744.27734375,non-categ_VMEs
180213,-5739.9560546875,non-categ_VMEs
180214,-5877.8828125,non-categ_VMEs
180215,-5946.46240234375,non-categ_VMEs
180216,-6033.66650390625,non-categ_VMEs
180217,-6135.62841796875,non-categ_VMEs
180218,-5638.55322265625,non-categ_VMEs
180219,-5683.0859375,non-categ_VMEs
180220,-5846.88037109375,non-categ_VMEs
180221,-5608.78125,non-categ_VMEs
180222,-5537.8818359375,non-categ_VMEs
180223,-5258.72509765625,non-categ_VMEs
180224,-5418.56005859375,non-categ_VMEs
180225,-5455.3828125,non-categ_VMEs
180226,-5405.16845703125,non-categ_VMEs
180227,-5631.546875,non-categ_VMEs
180228,-5808.15283203125,non-categ_VMEs
180229,-5858.77197265625,non-categ_VMEs
180230,-6024.40087890625,non-categ_VMEs
180231,-6062.6904296875,non-categ_VMEs
180232,-5842.06396484375,non-categ_VMEs
180233,-5556.45654296875,non-categ_VMEs
180234,-5439.64794921875,non-categ_VMEs
180235,-5667.673828125,non-categ_VMEs
180236,-5799.40283203125,non-categ_VMEs
180237,-5920.18212890625,non-categ_VMEs
180238,-5722.7001953125,non-categ_VMEs
180239,-5294.50634765625,non-categ_VMEs
180240,-5397.166015625,non-categ_VMEs
180241,-5408.84033203125,non-categ_VMEs
180242,-5217.0498046875,non-categ_VMEs
180243,-5489.01708984375,non-categ_VMEs
180244,-5661.330078125,non-categ_VMEs
180245,-5833.49609375,non-categ_VMEs
180246,-5957.013671875,non-categ_VMEs
180247,-6056.59814453125,non-categ_VMEs
180248,-6053.74658203125,non-categ_VMEs
180249,-5847.1181640625,non-categ_VMEs
180250,-5842.77392578125,non-categ_VMEs
180251,-5701.0263671875,non-categ_VMEs
180252,-5638.35693359375,non-categ_VMEs
180253,-5810.119140625,non-categ_VMEs
180254,-5897.93017578125,non-categ_VMEs
180255,-5897.08642578125,non-categ_VMEs
180256,-5308.72802734375,non-categ_VMEs
180257,-5389.53466796875,non-categ_VMEs
180258,-5328.4560546875,non-categ_VMEs
180259,-4724.90087890625,non-categ_VMEs
180260,-5386.59765625,non-categ_VMEs
180261,-5731.0146484375,non-categ_VMEs
180262,-5798.27490234375,non-categ_VMEs
180263,-5977.3759765625,non-categ_VMEs
180264,-6089.51220703125,non-categ_VMEs
180265,-6083.1669921875,non-categ_VMEs
180266,-5747.2890625,non-categ_VMEs
180267,-5545.57275390625,non-categ_VMEs
180268,-5539.326171875,non-categ_VMEs
180269,-5754.45263671875,non-categ_VMEs
180270,-5922.3720703125,non-categ_VMEs
180271,-5762.552734375,non-categ_VMEs
180272,-5190.353515625,non-categ_VMEs
180273,-5373.2431640625,non-categ_VMEs
180274,-4930.63525390625,non-categ_VMEs
180275,-4555.861328125,non-categ_VMEs
180276,-5360.93896484375,non-categ_VMEs
180277,-5731.3701171875,non-categ_VMEs
180278,-5697.251953125,non-categ_VMEs
180279,-6062.70361328125,non-categ_VMEs
180280,-6000.45263671875,non-categ_VMEs
180281,-6014.564453125,non-categ_VMEs
180282,-5935.689453125,non-categ_VMEs
180283,-5977.06103515625,non-categ_VMEs
180284,-5608.7978515625,non-categ_VMEs
180285,-5494.1845703125,non-categ_VMEs
180286,-5467.1474609375,non-categ_VMEs
180287,-5558.89453125,non-categ_VMEs
180288,-5169.203125,non-categ_VMEs
180289,-5356.44482421875,non-categ_VMEs
180290,-5069.34375,non-categ_VMEs
180291,-4300.85009765625,non-categ_VMEs
180292,-4051.10400390625,non-categ_VMEs
180293,-5450.552734375,non-categ_VMEs
180294,-5656.91796875,non-categ_VMEs
180295,-5950.74609375,non-categ_VMEs
180296,-6004.18896484375,non-categ_VMEs
180297,-5911.076171875,non-categ_VMEs
180298,-5946.171875,non-categ_VMEs
180299,-5809.14111328125,non-categ_VMEs
180300,-5707.53564453125,non-categ_VMEs
180301,-5661.10107421875,non-categ_VMEs
180302,-5676.5322265625,non-categ_VMEs
180303,-5690.9443359375,non-categ_VMEs
180304,-5620.84326171875,non-categ_VMEs
180305,-5235.111328125,non-categ_VMEs
180306,-5217.36865234375,non-categ_VMEs
180307,-4713.22900390625,non-categ_VMEs
180308,-3773.71875,non-categ_VMEs
180309,-4128.71240234375,non-categ_VMEs
180310,-5376.33544921875,non-categ_VMEs
180311,-5828.34130859375,non-categ_VMEs
180312,-5922.12255859375,non-categ_VMEs
