layer,depth,province
1,-5851.462890625,non-categ_mpas
2,-5417.134765625,non-categ_mpas
3,-5360.28369140625,non-categ_mpas
4,-5249.78466796875,non-categ_mpas
5,-5328.93505859375,non-categ_mpas
6,-5340.2216796875,non-categ_mpas
7,-5350.00537109375,non-categ_mpas
8,-5412.67919921875,non-categ_mpas
9,-5719.15185546875,non-categ_mpas
10,-5822.5546875,non-categ_mpas
11,-5453.2138671875,non-categ_mpas
12,-5410.87353515625,non-categ_mpas
13,-5303.53955078125,non-categ_mpas
14,-5447.9619140625,non-categ_mpas
15,-5408.546875,non-categ_mpas
16,-5501.10302734375,non-categ_mpas
17,-5522.92431640625,non-categ_mpas
18,-5580.68310546875,non-categ_mpas
19,-5661.787109375,non-categ_mpas
20,-5890.18505859375,non-categ_mpas
21,-5694.8935546875,non-categ_mpas
22,-5300.91015625,non-categ_mpas
23,-5474.05126953125,non-categ_mpas
24,-5232.69091796875,non-categ_mpas
25,-5147.10400390625,non-categ_mpas
26,-5425.8740234375,non-categ_mpas
27,-5455.87548828125,non-categ_mpas
28,-5641.69775390625,non-categ_mpas
29,-5599.40087890625,non-categ_mpas
30,-5568.017578125,non-categ_mpas
31,-5931.083984375,non-categ_mpas
32,-5735.8330078125,non-categ_mpas
33,-5830.57763671875,non-categ_mpas
34,-5843.65673828125,non-categ_mpas
35,-5315.27392578125,non-categ_mpas
36,-5451.09326171875,non-categ_mpas
37,-5287.27734375,non-categ_mpas
38,-5457.27490234375,non-categ_mpas
39,-5462.45947265625,non-categ_mpas
40,-5500.7431640625,non-categ_mpas
41,-5604.76318359375,non-categ_mpas
42,-5803.01318359375,non-categ_mpas
43,-5748.01171875,non-categ_mpas
44,-5830.6767578125,non-categ_mpas
45,-5882.45361328125,non-categ_mpas
46,-5580.5576171875,non-categ_mpas
47,-5990.345703125,non-categ_mpas
48,-5537.49462890625,non-categ_mpas
49,-5431.65380859375,non-categ_mpas
50,-5382.63134765625,non-categ_mpas
51,-5360.89111328125,non-categ_mpas
52,-5560.58984375,non-categ_mpas
53,-5695.98046875,non-categ_mpas
54,-5644.49609375,non-categ_mpas
55,-5782.87841796875,non-categ_mpas
56,-5719.53662109375,non-categ_mpas
57,-5878.61572265625,non-categ_mpas
58,-6070.65283203125,non-categ_mpas
59,-5754.56884765625,non-categ_mpas
60,-5914.18017578125,non-categ_mpas
61,-5917.0771484375,non-categ_mpas
62,-5629.8388671875,non-categ_mpas
63,-5112.5068359375,non-categ_mpas
64,-5419.94775390625,non-categ_mpas
65,-5288.37353515625,non-categ_mpas
66,-5483.3876953125,non-categ_mpas
67,-5557.99609375,non-categ_mpas
68,-5649.42578125,non-categ_mpas
69,-5790.603515625,non-categ_mpas
70,-5887.197265625,non-categ_mpas
71,-5890.29052734375,non-categ_mpas
72,-5941.61669921875,non-categ_mpas
73,-5861.83740234375,non-categ_mpas
74,-5515.1513671875,non-categ_mpas
75,-5909.244140625,non-categ_mpas
76,-5706.8232421875,non-categ_mpas
77,-5605.86376953125,non-categ_mpas
78,-5267.65185546875,non-categ_mpas
79,-5390.9267578125,non-categ_mpas
80,-5430.04736328125,non-categ_mpas
81,-5761.01513671875,non-categ_mpas
82,-5744.27734375,non-categ_mpas
83,-5739.9560546875,non-categ_mpas
84,-5877.8828125,non-categ_mpas
85,-5946.46240234375,non-categ_mpas
86,-6033.66650390625,non-categ_mpas
87,-6135.62841796875,non-categ_mpas
88,-5638.55322265625,non-categ_mpas
89,-5683.0859375,non-categ_mpas
90,-5846.88037109375,non-categ_mpas
91,-5608.78125,non-categ_mpas
92,-5537.8818359375,non-categ_mpas
93,-5258.72509765625,non-categ_mpas
94,-5418.56005859375,non-categ_mpas
95,-5455.3828125,non-categ_mpas
96,-5405.16845703125,non-categ_mpas
97,-5631.546875,non-categ_mpas
98,-5808.15283203125,non-categ_mpas
99,-5858.77197265625,non-categ_mpas
100,-6024.40087890625,non-categ_mpas
101,-6062.6904296875,non-categ_mpas
102,-5842.06396484375,non-categ_mpas
103,-5556.45654296875,non-categ_mpas
104,-5439.64794921875,non-categ_mpas
105,-5667.673828125,non-categ_mpas
106,-5799.40283203125,non-categ_mpas
107,-5920.18212890625,non-categ_mpas
108,-5722.7001953125,non-categ_mpas
109,-5294.50634765625,non-categ_mpas
110,-5397.166015625,non-categ_mpas
111,-5408.84033203125,non-categ_mpas
112,-5217.0498046875,non-categ_mpas
113,-5489.01708984375,non-categ_mpas
114,-5661.330078125,non-categ_mpas
115,-5833.49609375,non-categ_mpas
116,-5957.013671875,non-categ_mpas
117,-6056.59814453125,non-categ_mpas
118,-6053.74658203125,non-categ_mpas
119,-5847.1181640625,non-categ_mpas
120,-5842.77392578125,non-categ_mpas
121,-5701.0263671875,non-categ_mpas
122,-5638.35693359375,non-categ_mpas
123,-5810.119140625,non-categ_mpas
124,-5897.93017578125,non-categ_mpas
125,-5897.08642578125,non-categ_mpas
126,-5308.72802734375,non-categ_mpas
127,-5389.53466796875,non-categ_mpas
128,-5328.4560546875,non-categ_mpas
129,-4724.90087890625,non-categ_mpas
130,-5386.59765625,non-categ_mpas
131,-5731.0146484375,non-categ_mpas
132,-5798.27490234375,non-categ_mpas
133,-5977.3759765625,non-categ_mpas
134,-6089.51220703125,non-categ_mpas
135,-6083.1669921875,non-categ_mpas
136,-5747.2890625,non-categ_mpas
137,-5545.57275390625,non-categ_mpas
138,-5539.326171875,non-categ_mpas
139,-5754.45263671875,non-categ_mpas
140,-5922.3720703125,non-categ_mpas
141,-5762.552734375,non-categ_mpas
142,-5190.353515625,non-categ_mpas
143,-5373.2431640625,non-categ_mpas
144,-4930.63525390625,non-categ_mpas
145,-4555.861328125,non-categ_mpas
146,-5360.93896484375,non-categ_mpas
147,-5731.3701171875,non-categ_mpas
148,-5697.251953125,non-categ_mpas
149,-6062.70361328125,non-categ_mpas
150,-6000.45263671875,non-categ_mpas
151,-6014.564453125,non-categ_mpas
152,-5935.689453125,non-categ_mpas
153,-5977.06103515625,non-categ_mpas
154,-5608.7978515625,non-categ_mpas
155,-5494.1845703125,non-categ_mpas
156,-5467.1474609375,non-categ_mpas
157,-5558.89453125,non-categ_mpas
158,-5169.203125,non-categ_mpas
159,-5356.44482421875,non-categ_mpas
160,-5069.34375,non-categ_mpas
161,-4300.85009765625,non-categ_mpas
162,-4051.10400390625,non-categ_mpas
163,-5450.552734375,non-categ_mpas
164,-5656.91796875,non-categ_mpas
165,-5950.74609375,non-categ_mpas
166,-6004.18896484375,non-categ_mpas
167,-5911.076171875,non-categ_mpas
168,-5946.171875,non-categ_mpas
169,-5809.14111328125,non-categ_mpas
170,-5707.53564453125,non-categ_mpas
171,-5661.10107421875,non-categ_mpas
172,-5676.5322265625,non-categ_mpas
173,-5690.9443359375,non-categ_mpas
174,-5620.84326171875,non-categ_mpas
175,-5235.111328125,non-categ_mpas
176,-5217.36865234375,non-categ_mpas
177,-4713.22900390625,non-categ_mpas
178,-3773.71875,non-categ_mpas
179,-4128.71240234375,non-categ_mpas
180,-5376.33544921875,non-categ_mpas
181,-5828.34130859375,non-categ_mpas
182,-5922.12255859375,non-categ_mpas
183,-5892.00390625,non-categ_mpas
184,-5960.388671875,non-categ_mpas
185,-5647.6943359375,non-categ_mpas
186,-4478.013671875,non-categ_mpas
187,-5665.89990234375,non-categ_mpas
188,-5681.37744140625,non-categ_mpas
189,-5654.4912109375,non-categ_mpas
190,-5842.4072265625,non-categ_mpas
191,-4704.609375,non-categ_mpas
192,-5131.90869140625,non-categ_mpas
193,-5058.9892578125,non-categ_mpas
194,-4640.7861328125,non-categ_mpas
195,-3373.86962890625,non-categ_mpas
196,-4098.04248046875,non-categ_mpas
197,-5533.69873046875,non-categ_mpas
198,-5832.4453125,non-categ_mpas
