layer,depth,province
90066,-5851.462890625,non-categ_mpas
90067,-5417.134765625,non-categ_mpas
90068,-5360.28369140625,non-categ_mpas
90069,-5249.78466796875,non-categ_mpas
90070,-5328.93505859375,non-categ_mpas
90071,-5340.2216796875,non-categ_mpas
90072,-5350.00537109375,non-categ_mpas
90073,-5412.67919921875,non-categ_mpas
90074,-5719.15185546875,non-categ_mpas
90075,-5822.5546875,non-categ_mpas
90076,-5453.2138671875,non-categ_mpas
90077,-5410.87353515625,non-categ_mpas
90078,-5303.53955078125,non-categ_mpas
90079,-5447.9619140625,non-categ_mpas
90080,-5408.546875,non-categ_mpas
90081,-5501.10302734375,non-categ_mpas
90082,-5522.92431640625,non-categ_mpas
90083,-5580.68310546875,non-categ_mpas
90084,-5661.787109375,non-categ_mpas
90085,-5890.18505859375,non-categ_mpas
90086,-5694.8935546875,non-categ_mpas
90087,-5300.91015625,non-categ_mpas
90088,-5474.05126953125,non-categ_mpas
90089,-5232.69091796875,non-categ_mpas
90090,-5147.10400390625,non-categ_mpas
90091,-5425.8740234375,non-categ_mpas
90092,-5455.87548828125,non-categ_mpas
90093,-5641.69775390625,non-categ_mpas
90094,-5599.40087890625,non-categ_mpas
90095,-5568.017578125,non-categ_mpas
90096,-5931.083984375,non-categ_mpas
90097,-5735.8330078125,non-categ_mpas
90098,-5830.57763671875,non-categ_mpas
90099,-5843.65673828125,non-categ_mpas
90100,-5315.27392578125,non-categ_mpas
90101,-5451.09326171875,non-categ_mpas
90102,-5287.27734375,non-categ_mpas
90103,-5457.27490234375,non-categ_mpas
90104,-5462.45947265625,non-categ_mpas
90105,-5500.7431640625,non-categ_mpas
90106,-5604.76318359375,non-categ_mpas
90107,-5803.01318359375,non-categ_mpas
90108,-5748.01171875,non-categ_mpas
90109,-5830.6767578125,non-categ_mpas
90110,-5882.45361328125,non-categ_mpas
90111,-5580.5576171875,non-categ_mpas
90112,-5990.345703125,non-categ_mpas
90113,-5537.49462890625,non-categ_mpas
90114,-5431.65380859375,non-categ_mpas
90115,-5382.63134765625,non-categ_mpas
90116,-5360.89111328125,non-categ_mpas
90117,-5560.58984375,non-categ_mpas
90118,-5695.98046875,non-categ_mpas
90119,-5644.49609375,non-categ_mpas
90120,-5782.87841796875,non-categ_mpas
90121,-5719.53662109375,non-categ_mpas
90122,-5878.61572265625,non-categ_mpas
90123,-6070.65283203125,non-categ_mpas
90124,-5754.56884765625,non-categ_mpas
90125,-5914.18017578125,non-categ_mpas
90126,-5917.0771484375,non-categ_mpas
90127,-5629.8388671875,non-categ_mpas
90128,-5112.5068359375,non-categ_mpas
90129,-5419.94775390625,non-categ_mpas
90130,-5288.37353515625,non-categ_mpas
90131,-5483.3876953125,non-categ_mpas
90132,-5557.99609375,non-categ_mpas
90133,-5649.42578125,non-categ_mpas
90134,-5790.603515625,non-categ_mpas
90135,-5887.197265625,non-categ_mpas
90136,-5890.29052734375,non-categ_mpas
90137,-5941.61669921875,non-categ_mpas
90138,-5861.83740234375,non-categ_mpas
90139,-5515.1513671875,non-categ_mpas
90140,-5909.244140625,non-categ_mpas
90141,-5706.8232421875,non-categ_mpas
90142,-5605.86376953125,non-categ_mpas
90143,-5267.65185546875,non-categ_mpas
90144,-5390.9267578125,non-categ_mpas
90145,-5430.04736328125,non-categ_mpas
90146,-5761.01513671875,non-categ_mpas
90147,-5744.27734375,non-categ_mpas
90148,-5739.9560546875,non-categ_mpas
90149,-5877.8828125,non-categ_mpas
90150,-5946.46240234375,non-categ_mpas
90151,-6033.66650390625,non-categ_mpas
90152,-6135.62841796875,non-categ_mpas
90153,-5638.55322265625,non-categ_mpas
90154,-5683.0859375,non-categ_mpas
90155,-5846.88037109375,non-categ_mpas
90156,-5608.78125,non-categ_mpas
90157,-5537.8818359375,non-categ_mpas
90158,-5258.72509765625,non-categ_mpas
90159,-5418.56005859375,non-categ_mpas
90160,-5455.3828125,non-categ_mpas
90161,-5405.16845703125,non-categ_mpas
90162,-5631.546875,non-categ_mpas
90163,-5808.15283203125,non-categ_mpas
90164,-5858.77197265625,non-categ_mpas
90165,-6024.40087890625,non-categ_mpas
90166,-6062.6904296875,non-categ_mpas
90167,-5842.06396484375,non-categ_mpas
90168,-5556.45654296875,non-categ_mpas
90169,-5439.64794921875,non-categ_mpas
90170,-5667.673828125,non-categ_mpas
90171,-5799.40283203125,non-categ_mpas
90172,-5920.18212890625,non-categ_mpas
90173,-5722.7001953125,non-categ_mpas
90174,-5294.50634765625,non-categ_mpas
90175,-5397.166015625,non-categ_mpas
90176,-5408.84033203125,non-categ_mpas
90177,-5217.0498046875,non-categ_mpas
90178,-5489.01708984375,non-categ_mpas
90179,-5661.330078125,non-categ_mpas
90180,-5833.49609375,non-categ_mpas
90181,-5957.013671875,non-categ_mpas
90182,-6056.59814453125,non-categ_mpas
90183,-6053.74658203125,non-categ_mpas
90184,-5847.1181640625,non-categ_mpas
90185,-5842.77392578125,non-categ_mpas
90186,-5701.0263671875,non-categ_mpas
90187,-5638.35693359375,non-categ_mpas
90188,-5810.119140625,non-categ_mpas
90189,-5897.93017578125,non-categ_mpas
90190,-5897.08642578125,non-categ_mpas
90191,-5308.72802734375,non-categ_mpas
90192,-5389.53466796875,non-categ_mpas
90193,-5328.4560546875,non-categ_mpas
90194,-4724.90087890625,non-categ_mpas
90195,-5386.59765625,non-categ_mpas
90196,-5731.0146484375,non-categ_mpas
90197,-5798.27490234375,non-categ_mpas
90198,-5977.3759765625,non-categ_mpas
90199,-6089.51220703125,non-categ_mpas
90200,-6083.1669921875,non-categ_mpas
90201,-5747.2890625,non-categ_mpas
90202,-5545.57275390625,non-categ_mpas
90203,-5539.326171875,non-categ_mpas
90204,-5754.45263671875,non-categ_mpas
90205,-5922.3720703125,non-categ_mpas
90206,-5762.552734375,non-categ_mpas
90207,-5190.353515625,non-categ_mpas
90208,-5373.2431640625,non-categ_mpas
90209,-4930.63525390625,non-categ_mpas
90210,-4555.861328125,non-categ_mpas
90211,-5360.93896484375,non-categ_mpas
90212,-5731.3701171875,non-categ_mpas
90213,-5697.251953125,non-categ_mpas
90214,-6062.70361328125,non-categ_mpas
90215,-6000.45263671875,non-categ_mpas
90216,-6014.564453125,non-categ_mpas
90217,-5935.689453125,non-categ_mpas
90218,-5977.06103515625,non-categ_mpas
90219,-5608.7978515625,non-categ_mpas
90220,-5494.1845703125,non-categ_mpas
90221,-5467.1474609375,non-categ_mpas
90222,-5558.89453125,non-categ_mpas
90223,-5169.203125,non-categ_mpas
90224,-5356.44482421875,non-categ_mpas
90225,-5069.34375,non-categ_mpas
90226,-4300.85009765625,non-categ_mpas
90227,-4051.10400390625,non-categ_mpas
90228,-5450.552734375,non-categ_mpas
90229,-5656.91796875,non-categ_mpas
90230,-5950.74609375,non-categ_mpas
90231,-6004.18896484375,non-categ_mpas
90232,-5911.076171875,non-categ_mpas
90233,-5946.171875,non-categ_mpas
90234,-5809.14111328125,non-categ_mpas
90235,-5707.53564453125,non-categ_mpas
90236,-5661.10107421875,non-categ_mpas
90237,-5676.5322265625,non-categ_mpas
90238,-5690.9443359375,non-categ_mpas
90239,-5620.84326171875,non-categ_mpas
90240,-5235.111328125,non-categ_mpas
90241,-5217.36865234375,non-categ_mpas
90242,-4713.22900390625,non-categ_mpas
90243,-3773.71875,non-categ_mpas
90244,-4128.71240234375,non-categ_mpas
90245,-5376.33544921875,non-categ_mpas
90246,-5828.34130859375,non-categ_mpas
90247,-5922.12255859375,non-categ_mpas
90248,-5892.00390625,non-categ_mpas
90249,-5960.388671875,non-categ_mpas
90250,-5647.6943359375,non-categ_mpas
90251,-4478.013671875,non-categ_mpas
90252,-5665.89990234375,non-categ_mpas
90253,-5681.37744140625,non-categ_mpas
90254,-5654.4912109375,non-categ_mpas
90255,-5842.4072265625,non-categ_mpas
90256,-4704.609375,non-categ_mpas
90257,-5131.90869140625,non-categ_mpas
90258,-5058.9892578125,non-categ_mpas
90259,-4640.7861328125,non-categ_mpas
90260,-3373.86962890625,non-categ_mpas
90261,-4098.04248046875,non-categ_mpas
90262,-5533.69873046875,non-categ_mpas
90263,-5832.4453125,non-categ_mpas
90264,-5960.708984375,non-categ_mpas
90265,-5947.79052734375,non-categ_mpas
90266,-5700.4189453125,non-categ_mpas
90267,-5623.87060546875,non-categ_mpas
90268,-5721.96533203125,non-categ_mpas
90269,-5557.0791015625,non-categ_mpas
90270,-5493.2431640625,non-categ_mpas
90271,-5560.6572265625,non-categ_mpas
90272,-5763.375,non-categ_mpas
90273,-5858.89697265625,non-categ_mpas
90274,-4546.521484375,non-categ_mpas
90275,-5164.47705078125,non-categ_mpas
90276,-5283.69873046875,non-categ_mpas
90277,-4253.48095703125,non-categ_mpas
90278,-3383.07861328125,non-categ_mpas
90279,-4876.7080078125,non-categ_mpas
90280,-5685.162109375,non-categ_mpas
90281,-5951.107421875,non-categ_mpas
90282,-5822.37548828125,non-categ_mpas
90283,-5616.154296875,non-categ_mpas
90284,-5435.65283203125,non-categ_mpas
90285,-5269.46337890625,non-categ_mpas
90286,-4406.5224609375,non-categ_mpas
90287,-5537.7568359375,non-categ_mpas
90288,-5411.06884765625,non-categ_mpas
90289,-5532.5732421875,non-categ_mpas
90290,-5549.66943359375,non-categ_mpas
90291,-5695.462890625,non-categ_mpas
90292,-4718.61865234375,non-categ_mpas
90293,-4982.3759765625,non-categ_mpas
90294,-5318.91357421875,non-categ_mpas
90295,-5161.63330078125,non-categ_mpas
90296,-3703.43212890625,non-categ_mpas
90297,-3543.55346679688,non-categ_mpas
90298,-5490.43017578125,non-categ_mpas
90299,-5852.66162109375,non-categ_mpas
90300,-5914.50927734375,non-categ_mpas
90301,-5934.0048828125,non-categ_mpas
90302,-5376.85888671875,non-categ_mpas
90303,-5395.99658203125,non-categ_mpas
90304,-5274.0791015625,non-categ_mpas
90305,-5571.490234375,non-categ_mpas
90306,-5466.04736328125,non-categ_mpas
90307,-5326.11474609375,non-categ_mpas
90308,-5056.7001953125,non-categ_mpas
90309,-4753.34765625,non-categ_mpas
90310,-5476.0888671875,non-categ_mpas
90311,-5597.361328125,non-categ_mpas
90312,-5637.0439453125,non-categ_mpas
90313,-4747.130859375,non-categ_mpas
90314,-5171.94970703125,non-categ_mpas
90315,-5351.99755859375,non-categ_mpas
90316,-4838.8046875,non-categ_mpas
90317,-3610.81201171875,non-categ_mpas
90318,-4457.17626953125,non-categ_mpas
90319,-5638.25732421875,non-categ_mpas
90320,-5947.0546875,non-categ_mpas
90321,-5812.83154296875,non-categ_mpas
90322,-5783.90283203125,non-categ_mpas
90323,-4878.40625,non-categ_mpas
90324,-5149.4765625,non-categ_mpas
90325,-5221.8740234375,non-categ_mpas
90326,-5386.58544921875,non-categ_mpas
90327,-5127.07177734375,non-categ_mpas
90328,-5316.76611328125,non-categ_mpas
90329,-5127.05908203125,non-categ_mpas
90330,-4429.451171875,non-categ_mpas
90331,-5013.85791015625,non-categ_mpas
90332,-5577.87890625,non-categ_mpas
90333,-5587.6953125,non-categ_mpas
90334,-4853.810546875,non-categ_mpas
90335,-5066.05517578125,non-categ_mpas
90336,-5283.33203125,non-categ_mpas
90337,-5357.22216796875,non-categ_mpas
90338,-4681.5205078125,non-categ_mpas
90339,-3834.37646484375,non-categ_mpas
90340,-4815.4931640625,non-categ_mpas
90341,-5881.42724609375,non-categ_mpas
90342,-5717.818359375,non-categ_mpas
90343,-5690.93115234375,non-categ_mpas
