layer,province
180131,8_Glasgow
180132,6_Glasgow
180133,6_Glasgow
180134,6_Glasgow
180135,6_Glasgow
180136,6_Glasgow
180137,6_Glasgow
180138,6_Glasgow
180139,6_Glasgow
180140,8_Glasgow
180141,6_Glasgow
180142,6_Glasgow
180143,6_Glasgow
180144,6_Glasgow
180145,6_Glasgow
180146,6_Glasgow
180147,6_Glasgow
180148,6_Glasgow
180149,6_Glasgow
180150,8_Glasgow
180151,6_Glasgow
180152,6_Glasgow
180153,6_Glasgow
180154,6_Glasgow
180155,6_Glasgow
180156,6_Glasgow
180157,6_Glasgow
180158,6_Glasgow
180159,6_Glasgow
180160,6_Glasgow
180161,4_Glasgow
180162,4_Glasgow
180163,8_Glasgow
180164,8_Glasgow
180165,6_Glasgow
180166,6_Glasgow
180167,6_Glasgow
180168,6_Glasgow
180169,6_Glasgow
180170,6_Glasgow
180171,6_Glasgow
180172,6_Glasgow
180173,4_Glasgow
180174,4_Glasgow
180175,4_Glasgow
180176,8_Glasgow
180177,8_Glasgow
180178,6_Glasgow
180179,6_Glasgow
180180,6_Glasgow
180181,6_Glasgow
180182,6_Glasgow
180183,6_Glasgow
180184,4_Glasgow
180185,4_Glasgow
180186,4_Glasgow
180187,4_Glasgow
180188,4_Glasgow
180189,8_Glasgow
180190,8_Glasgow
180191,8_Glasgow
180192,6_Glasgow
180193,6_Glasgow
180194,6_Glasgow
180195,6_Glasgow
180196,6_Glasgow
180197,6_Glasgow
180198,4_Glasgow
180199,4_Glasgow
180200,4_Glasgow
180201,4_Glasgow
180202,4_Glasgow
180203,4_Glasgow
180204,8_Glasgow
180205,8_Glasgow
180206,6_Glasgow
180207,6_Glasgow
180208,6_Glasgow
180209,6_Glasgow
180210,6_Glasgow
180211,4_Glasgow
180212,4_Glasgow
180213,4_Glasgow
180214,4_Glasgow
180215,4_Glasgow
180216,4_Glasgow
180217,4_Glasgow
180218,8_Glasgow
180219,8_Glasgow
180220,8_Glasgow
180221,6_Glasgow
180222,6_Glasgow
180223,6_Glasgow
180224,6_Glasgow
180225,6_Glasgow
180226,4_Glasgow
180227,4_Glasgow
180228,4_Glasgow
180229,4_Glasgow
180230,4_Glasgow
180231,4_Glasgow
180232,4_Glasgow
180233,4_Glasgow
180234,8_Glasgow
180235,8_Glasgow
180236,8_Glasgow
180237,6_Glasgow
180238,6_Glasgow
180239,6_Glasgow
180240,6_Glasgow
180241,6_Glasgow
180242,4_Glasgow
180243,4_Glasgow
180244,4_Glasgow
180245,4_Glasgow
180246,4_Glasgow
180247,4_Glasgow
180248,4_Glasgow
180249,4_Glasgow
180250,4_Glasgow
180251,8_Glasgow
180252,8_Glasgow
180253,8_Glasgow
180254,8_Glasgow
180255,6_Glasgow
180256,6_Glasgow
180257,6_Glasgow
180258,6_Glasgow
180259,4_Glasgow
180260,4_Glasgow
180261,4_Glasgow
180262,4_Glasgow
180263,4_Glasgow
180264,4_Glasgow
180265,4_Glasgow
180266,4_Glasgow
180267,4_Glasgow
180268,8_Glasgow
180269,8_Glasgow
180270,8_Glasgow
180271,6_Glasgow
180272,6_Glasgow
180273,6_Glasgow
180274,4_Glasgow
180275,4_Glasgow
180276,4_Glasgow
180277,4_Glasgow
180278,4_Glasgow
180279,4_Glasgow
180280,4_Glasgow
180281,4_Glasgow
180282,4_Glasgow
180283,4_Glasgow
180284,4_Glasgow
180285,8_Glasgow
180286,8_Glasgow
180287,8_Glasgow
180288,6_Glasgow
180289,6_Glasgow
180290,6_Glasgow
180291,4_Glasgow
180292,4_Glasgow
180293,4_Glasgow
180294,4_Glasgow
180295,4_Glasgow
180296,4_Glasgow
180297,4_Glasgow
180298,4_Glasgow
180299,4_Glasgow
180300,4_Glasgow
180301,4_Glasgow
180302,8_Glasgow
180303,8_Glasgow
180304,8_Glasgow
180305,6_Glasgow
180306,6_Glasgow
180307,4_Glasgow
180308,4_Glasgow
180309,4_Glasgow
180310,4_Glasgow
180311,4_Glasgow
180312,4_Glasgow
180313,4_Glasgow
180314,4_Glasgow
180315,4_Glasgow
180316,4_Glasgow
180317,4_Glasgow
180318,4_Glasgow
180319,8_Glasgow
180320,8_Glasgow
180321,6_Glasgow
180322,6_Glasgow
180323,6_Glasgow
180324,4_Glasgow
180325,4_Glasgow
180326,4_Glasgow
180327,4_Glasgow
180328,4_Glasgow
180329,4_Glasgow
180330,4_Glasgow
180331,4_Glasgow
180332,4_Glasgow
180333,4_Glasgow
180334,4_Glasgow
180335,4_Glasgow
180336,8_Glasgow
180337,8_Glasgow
180338,8_Glasgow
180339,6_Glasgow
180340,6_Glasgow
180341,4_Glasgow
180342,4_Glasgow
180343,4_Glasgow
180344,4_Glasgow
