layer,province
1,WARM_Longhurst
2,WARM_Longhurst
3,WARM_Longhurst
4,WARM_Longhurst
5,WARM_Longhurst
6,WARM_Longhurst
7,WARM_Longhurst
8,WARM_Longhurst
9,WARM_Longhurst
10,WARM_Longhurst
11,WARM_Longhurst
12,WARM_Longhurst
13,WARM_Longhurst
14,WARM_Longhurst
15,WARM_Longhurst
16,WARM_Longhurst
17,WARM_Longhurst
18,WARM_Longhurst
19,WARM_Longhurst
20,WARM_Longhurst
21,WARM_Longhurst
22,WARM_Longhurst
23,WARM_Longhurst
24,WARM_Longhurst
25,WARM_Longhurst
26,WARM_Longhurst
27,WARM_Longhurst
28,WARM_Longhurst
29,WARM_Longhurst
30,WARM_Longhurst
31,WARM_Longhurst
32,WARM_Longhurst
33,WARM_Longhurst
34,WARM_Longhurst
35,WARM_Longhurst
36,WARM_Longhurst
37,WARM_Longhurst
38,WARM_Longhurst
39,WARM_Longhurst
40,WARM_Longhurst
41,WARM_Longhurst
42,WARM_Longhurst
43,WARM_Longhurst
44,WARM_Longhurst
45,WARM_Longhurst
46,WARM_Longhurst
47,WARM_Longhurst
48,WARM_Longhurst
49,WARM_Longhurst
50,WARM_Longhurst
51,WARM_Longhurst
52,WARM_Longhurst
53,WARM_Longhurst
54,WARM_Longhurst
55,WARM_Longhurst
56,WARM_Longhurst
57,WARM_Longhurst
58,WARM_Longhurst
59,WARM_Longhurst
60,WARM_Longhurst
61,WARM_Longhurst
62,WARM_Longhurst
63,WARM_Longhurst
64,WARM_Longhurst
65,WARM_Longhurst
66,WARM_Longhurst
67,WARM_Longhurst
68,WARM_Longhurst
69,WARM_Longhurst
70,WARM_Longhurst
71,WARM_Longhurst
72,WARM_Longhurst
73,WARM_Longhurst
74,WARM_Longhurst
75,WARM_Longhurst
76,WARM_Longhurst
77,WARM_Longhurst
78,WARM_Longhurst
79,WARM_Longhurst
80,WARM_Longhurst
81,WARM_Longhurst
82,WARM_Longhurst
83,WARM_Longhurst
84,WARM_Longhurst
85,WARM_Longhurst
86,WARM_Longhurst
87,WARM_Longhurst
88,WARM_Longhurst
89,WARM_Longhurst
90,WARM_Longhurst
91,WARM_Longhurst
92,WARM_Longhurst
93,WARM_Longhurst
94,WARM_Longhurst
95,WARM_Longhurst
96,WARM_Longhurst
97,WARM_Longhurst
98,WARM_Longhurst
99,WARM_Longhurst
100,WARM_Longhurst
101,WARM_Longhurst
102,WARM_Longhurst
103,NPSW_Longhurst
104,WARM_Longhurst
105,WARM_Longhurst
106,WARM_Longhurst
107,WARM_Longhurst
108,WARM_Longhurst
109,WARM_Longhurst
110,WARM_Longhurst
111,WARM_Longhurst
112,WARM_Longhurst
113,WARM_Longhurst
114,WARM_Longhurst
115,WARM_Longhurst
116,WARM_Longhurst
117,WARM_Longhurst
118,WARM_Longhurst
119,NPSW_Longhurst
120,NPSW_Longhurst
121,WARM_Longhurst
122,WARM_Longhurst
123,WARM_Longhurst
124,WARM_Longhurst
125,WARM_Longhurst
126,WARM_Longhurst
127,WARM_Longhurst
128,WARM_Longhurst
129,WARM_Longhurst
130,WARM_Longhurst
131,WARM_Longhurst
132,WARM_Longhurst
133,WARM_Longhurst
134,WARM_Longhurst
135,WARM_Longhurst
136,NPSW_Longhurst
137,NPSW_Longhurst
138,WARM_Longhurst
139,WARM_Longhurst
140,WARM_Longhurst
141,WARM_Longhurst
142,WARM_Longhurst
143,WARM_Longhurst
144,WARM_Longhurst
145,WARM_Longhurst
146,WARM_Longhurst
147,WARM_Longhurst
148,WARM_Longhurst
149,WARM_Longhurst
150,WARM_Longhurst
151,NPSW_Longhurst
152,NPSW_Longhurst
153,NPSW_Longhurst
154,NPSW_Longhurst
