layer,province
270196,10_GOODS
270197,11_GOODS
270198,11_GOODS
270199,11_GOODS
270200,11_GOODS
270201,11_GOODS
270202,11_GOODS
270203,12_GOODS
270204,12_GOODS
270205,10_GOODS
270206,10_GOODS
270207,11_GOODS
270208,11_GOODS
270209,11_GOODS
270210,11_GOODS
270211,11_GOODS
270212,12_GOODS
270213,12_GOODS
270214,12_GOODS
270215,10_GOODS
270216,10_GOODS
270217,11_GOODS
270218,11_GOODS
270219,11_GOODS
270220,11_GOODS
270221,11_GOODS
270222,11_GOODS
270223,12_GOODS
270224,12_GOODS
270225,12_GOODS
270226,12_GOODS
270227,12_GOODS
270228,10_GOODS
270229,10_GOODS
270230,10_GOODS
270231,11_GOODS
270232,11_GOODS
270233,11_GOODS
270234,11_GOODS
270235,12_GOODS
270236,12_GOODS
270237,12_GOODS
270238,12_GOODS
270239,12_GOODS
270240,12_GOODS
270241,10_GOODS
270242,10_GOODS
270243,10_GOODS
270244,11_GOODS
270245,11_GOODS
270246,12_GOODS
270247,12_GOODS
270248,12_GOODS
270249,12_GOODS
270250,12_GOODS
270251,12_GOODS
270252,12_GOODS
270253,12_GOODS
270254,10_GOODS
270255,10_GOODS
270256,10_GOODS
270257,11_GOODS
270258,11_GOODS
270259,11_GOODS
270260,12_GOODS
270261,12_GOODS
270262,12_GOODS
270263,12_GOODS
270264,12_GOODS
270265,12_GOODS
270266,12_GOODS
270267,12_GOODS
270268,12_GOODS
270269,10_GOODS
270270,10_GOODS
270271,10_GOODS
270272,11_GOODS
270273,12_GOODS
270274,12_GOODS
270275,12_GOODS
270276,12_GOODS
270277,12_GOODS
270278,12_GOODS
270279,12_GOODS
270280,12_GOODS
270281,12_GOODS
270282,12_GOODS
270283,10_GOODS
270284,10_GOODS
270285,10_GOODS
270286,11_GOODS
270287,11_GOODS
270288,12_GOODS
270289,12_GOODS
270290,12_GOODS
270291,12_GOODS
270292,12_GOODS
270293,12_GOODS
270294,12_GOODS
270295,12_GOODS
270296,12_GOODS
270297,12_GOODS
270298,12_GOODS
270299,10_GOODS
270300,10_GOODS
