"","phylum","epipelagic","mesopelagic","bathyabyssopelagic","seafloor"
"1","Annelida",NA,NA,NA,482
"2","Arthropoda",225,255,100,2048
"3","Bacillariophyta",1,NA,NA,NA
"4","Brachiopoda",NA,2,3,22
"5","Bryozoa",NA,NA,NA,98
"6","Chaetognatha",20,18,3,NA
"7","Chlorophyta",NA,NA,NA,49
"8","Chordata",633,854,381,4016
"9","Cnidaria",116,45,4,876
"10","Ctenophora",4,5,NA,NA
"11","Cyanobacteria",NA,NA,NA,3
"12","Dinophyta",NA,NA,NA,1
"13","Echinodermata",NA,NA,NA,546
"14","Echiura",NA,NA,NA,2
"15","Foraminifera",NA,NA,NA,33
"16","Gastrotricha",NA,NA,NA,5
"17","Hemichordata",1,2,NA,2
"18","Kamptozoa",NA,NA,NA,1
"19","Magnoliophyta",NA,NA,NA,1
"20","Mollusca",81,119,28,2330
"21","Nematoda",NA,NA,NA,1
"22","Nemertea",NA,NA,NA,3
"23","Ochrophyta",NA,NA,NA,30
"24","Phoronida",NA,NA,NA,5
"25","Platyhelminthes",NA,NA,NA,1
"26","Porifera",NA,NA,NA,192
"27","Priapulida",NA,NA,NA,2
"28","Rhodophyta",NA,NA,NA,55
"29","Sagenista",NA,NA,NA,1
"30","Sipuncula",NA,NA,NA,51
"31","Tracheophyta",NA,NA,NA,4
